年度,都道府県,結実,出没件数,捕獲総数,捕殺,非捕殺,件数,被害人数,死亡者人数
2024,青森,3.8,725,109,109,0,4,4,1
2025,青森,0.2,1835,764,764,0,8,8,0
2008,静岡,,,17,17,0,1,1,0
2009,静岡,,,17,16,1,0,0,0
2010,静岡,,,18,18,0,0,0,0
2011,静岡,,,19,19,0,0,0,0
2012,静岡,,,15,15,0,1,1,0
2013,静岡,,,18,18,0,0,0,0
2014,静岡,,,21,20,1,0,0,0
2015,静岡,,,19,19,0,0,0,0
2016,静岡,,,23,23,0,0,0,0
2017,静岡,,,30,30,0,0,0,0
2018,静岡,,,24,24,0,0,0,0
2019,静岡,,,20,20,0,0,0,0
2020,静岡,,,24,23,1,0,0,0
2021,静岡,,82,36,28,8,2,2,0
2022,静岡,,21,39,31,8,1,1,0
2023,静岡,,121,26,26,0,0,0,0
2024,静岡,,156,27,27,0,0,0,0
2025,静岡,,68,34,34,0,0,0,0
2008,香川,,,,,,0,0,0
2009,香川,,,,,,0,0,0
2010,香川,,,,,,0,0,0
2011,香川,,,,,,0,0,0
2012,香川,,,,,,0,0,0
2013,香川,,,,,,0,0,0
2014,香川,,,,,,0,0,0
2015,香川,,,,,,0,0,0
2016,香川,,,,,,0,0,0
2017,香川,,,,,,0,0,0
2018,香川,,,,,,0,0,0
2019,香川,,,,,,0,0,0
2020,香川,,,,,,0,0,0
2021,香川,,0,,,,0,0,0
2022,香川,,0,,,,0,0,0
2023,香川,,0,,,,0,0,0
2024,香川,,0,,,,0,0,0
2025,香川,,0,,,,0,0,0
2008,高知,,,,,,0,0,0
2009,高知,,,,,,0,0,0
2010,高知,,,,,,0,0,0
2011,高知,,,,,,0,0,0
2012,高知,,,,,,0,0,0
2013,高知,,,,,,0,0,0
2014,高知,,,,,,0,0,0
2015,高知,,,,,,0,0,0
2016,高知,,,,,,0,0,0
2017,高知,,,,,,0,0,0
2018,高知,,,,,,0,0,0
2019,高知,,,,,,0,0,0
2020,高知,,,,,,0,0,0
2021,高知,,0,,,,0,0,0
2022,高知,,0,,,,0,0,0
2023,高知,,2,,,,0,0,0
2024,高知,,4,,,,0,0,0
2025,高知,,0,,,,0,0,0
2008,鳥取,,,1,1,0,0,0,0
2009,鳥取,,,1,0,1,0,0,0
2010,鳥取,,,65,38,27,2,2,1
2011,鳥取,,,0,0,0,0,0,0
2012,鳥取,,,16,16,0,0,0,0
2013,鳥取,,,4,4,0,0,0,0
2014,鳥取,,,26,26,0,0,0,0
2015,鳥取,,,2,2,0,0,0,0
2016,鳥取,,,71,71,0,4,4,0
2017,鳥取,,,18,18,0,0,0,0
2018,鳥取,,,50,50,0,0,0,0
2019,鳥取,,,81,81,0,2,3,0
2020,鳥取,,,76,76,0,2,2,0
2021,鳥取,,156,55,55,0,0,0,0
2022,鳥取,,104,23,23,0,0,0,0
2023,鳥取,,164,54,54,0,0,0,0
2024,鳥取,,272,111,111,0,0,0,0
2025,鳥取,,58,7,7,0,0,0,0
