prefecture,year,month,count
富山,2003,6月,42
富山,2004,6月,64
富山,2005,6月,62
富山,2006,6月,85
富山,2007,6月,57
石川,2003,4月,6
石川,2004,4月,23
石川,2005,4月,5
石川,2006,4月,5
石川,2007,4月,9
石川,2003,5月,37
石川,2004,5月,57
石川,2005,5月,29
石川,2006,5月,40
石川,2007,5月,30
石川,2003,6月,76
石川,2004,6月,69
石川,2005,6月,40
石川,2006,6月,90
石川,2007,6月,98
福井,2003,4月,20
福井,2004,4月,11
福井,2005,4月,11
福井,2006,4月,27
福井,2007,4月,25
福井,2003,5月,67
福井,2004,5月,61
福井,2005,5月,50
福井,2006,5月,116
福井,2007,5月,77
福井,2003,6月,88
福井,2004,6月,95
福井,2005,6月,85
福井,2006,6月,267
福井,2007,6月,114
山梨,2003,4月,8
山梨,2004,4月,1
山梨,2005,4月,4
山梨,2006,4月,8
山梨,2007,4月,4
山梨,2003,5月,30
山梨,2004,5月,11
山梨,2005,5月,14
山梨,2006,5月,25
山梨,2007,5月,22
山梨,2003,6月,30
山梨,2004,6月,36
山梨,2005,6月,25
山梨,2006,6月,83
山梨,2007,6月,68
長野,2003,4月,16
長野,2004,4月,20
長野,2005,4月,25
長野,2006,4月,20
長野,2007,4月,25
長野,2003,5月,78
長野,2004,5月,56
長野,2005,5月,68
長野,2006,5月,107
長野,2007,5月,59
長野,2003,6月,210
長野,2004,6月,124
長野,2005,6月,288
長野,2006,6月,347
長野,2007,6月,226
岐阜,2003,4月,11
岐阜,2004,4月,15
岐阜,2005,4月,16
岐阜,2006,4月,30
岐阜,2007,4月,28
岐阜,2003,5月,22
岐阜,2004,5月,19
岐阜,2005,5月,52
岐阜,2006,5月,50
岐阜,2007,5月,69
岐阜,2003,6月,72
岐阜,2004,6月,60
岐阜,2005,6月,158
岐阜,2006,6月,234
岐阜,2007,6月,129
静岡,2003,4月,1
静岡,2004,4月,2
静岡,2005,4月,3
静岡,2006,4月,4
静岡,2007,4月,7
静岡,2003,5月,28
静岡,2004,5月,4
静岡,2005,5月,9
静岡,2006,5月,9
静岡,2007,5月,4
静岡,2003,6月,8
静岡,2004,6月,4
静岡,2005,6月,6
静岡,2006,6月,36
静岡,2007,6月,13
愛知,2003,4月,1
愛知,2004,4月,0
愛知,2005,4月,4
愛知,2006,4月,0
愛知,2007,4月,0
愛知,2003,5月,1
愛知,2004,5月,0
愛知,2005,5月,2
愛知,2006,5月,0
愛知,2007,5月,0
愛知,2003,6月,1
愛知,2004,6月,1
愛知,2005,6月,2
愛知,2006,6月,7
愛知,2007,6月,4
三重,2003,4月,1
三重,2004,4月,0
三重,2005,4月,0
三重,2006,4月,4
三重,2007,4月,5
三重,2003,5月,0
三重,2004,5月,2
三重,2005,5月,1
三重,2006,5月,7
三重,2007,5月,2
三重,2003,6月,2
三重,2004,6月,4
三重,2005,6月,5
三重,2006,6月,27
三重,2007,6月,17
滋賀,2003,4月,6
滋賀,2004,4月,0
滋賀,2005,4月,2
滋賀,2006,4月,2
滋賀,2007,4月,5
滋賀,2003,5月,9
滋賀,2004,5月,7
滋賀,2005,5月,10
滋賀,2006,5月,10
滋賀,2007,5月,11
滋賀,2003,6月,10
滋賀,2004,6月,8
滋賀,2005,6月,22
滋賀,2006,6月,29
滋賀,2007,6月,27
京都,2003,4月,37
京都,2004,4月,26
京都,2005,4月,29
京都,2006,4月,32
京都,2007,4月,48
京都,2003,5月,114
京都,2004,5月,71
京都,2005,5月,147
京都,2006,5月,224
京都,2007,5月,160
京都,2003,6月,85
京都,2004,6月,117
京都,2005,6月,91
京都,2006,6月,322
京都,2007,6月,139
大阪,2003,4月,1
大阪,2004,4月,1
大阪,2005,4月,0
大阪,2006,4月,0
大阪,2007,4月,1
大阪,2003,5月,1
大阪,2004,5月,2
大阪,2005,5月,0
大阪,2006,5月,3
大阪,2007,5月,1
大阪,2003,6月,0
大阪,2004,6月,2
大阪,2005,6月,1
大阪,2006,6月,0
大阪,2007,6月,1
兵庫,2003,4月,25
兵庫,2004,4月,4
兵庫,2005,4月,16
兵庫,2006,4月,18
兵庫,2007,4月,37
兵庫,2003,5月,41
兵庫,2004,5月,41
兵庫,2005,5月,53
兵庫,2006,5月,72
兵庫,2007,5月,119
兵庫,2003,6月,46
兵庫,2004,6月,52
兵庫,2005,6月,80
兵庫,2006,6月,141
兵庫,2007,6月,53
奈良,2003,4月,0
奈良,2004,4月,1
奈良,2005,4月,3
奈良,2006,4月,4
奈良,2007,4月,1
奈良,2003,5月,2
奈良,2004,5月,5
奈良,2005,5月,8
奈良,2006,5月,14
奈良,2007,5月,16
奈良,2003,6月,2
奈良,2004,6月,12
奈良,2005,6月,7
奈良,2006,6月,32
奈良,2007,6月,24
和歌山,2003,4月,4
和歌山,2004,4月,3
和歌山,2005,4月,1
和歌山,2006,4月,4
和歌山,2007,4月,5
和歌山,2003,5月,9
和歌山,2004,5月,8
和歌山,2005,5月,3
和歌山,2006,5月,13
和歌山,2007,5月,5
和歌山,2003,6月,11
和歌山,2004,6月,10
和歌山,2005,6月,4
和歌山,2006,6月,23
和歌山,2007,6月,9
鳥取,2003,4月,7
鳥取,2004,4月,2
鳥取,2005,4月,8
鳥取,2006,4月,7
鳥取,2007,4月,3
鳥取,2003,5月,13
鳥取,2004,5月,17
鳥取,2005,5月,9
鳥取,2006,5月,16
鳥取,2007,5月,7
鳥取,2003,6月,13
鳥取,2004,6月,21
鳥取,2005,6月,16
鳥取,2006,6月,27
鳥取,2007,6月,8
島根,2003,4月,28
島根,2004,4月,23
島根,2005,4月,35
島根,2006,4月,46
島根,2007,4月,23
島根,2003,5月,92
島根,2004,5月,120
島根,2005,5月,139
島根,2006,5月,218
島根,2007,5月,135
島根,2003,6月,111
島根,2004,6月,92
島根,2005,6月,147
島根,2006,6月,307
島根,2007,6月,124
岡山,2003,4月,5
岡山,2004,4月,6
岡山,2005,4月,6
岡山,2006,4月,3
岡山,2007,4月,1
岡山,2003,5月,13
岡山,2004,5月,7
岡山,2005,5月,7
岡山,2006,5月,13
岡山,2007,5月,6
岡山,2003,6月,15
岡山,2004,6月,17
岡山,2005,6月,11
岡山,2006,6月,17
岡山,2007,6月,5
広島,2003,4月,20
広島,2004,4月,17
広島,2005,4月,12
広島,2006,4月,21
広島,2007,4月,21
広島,2003,5月,70
広島,2004,5月,48
広島,2005,5月,56
広島,2006,5月,70
広島,2007,5月,44
広島,2003,6月,87
広島,2004,6月,70
広島,2005,6月,77
広島,2006,6月,126
広島,2007,6月,76
山口,2003,4月,10
山口,2004,4月,12
山口,2005,4月,13
山口,2006,4月,22
山口,2007,4月,18
山口,2003,5月,22
山口,2004,5月,32
山口,2005,5月,53
山口,2006,5月,71
山口,2007,5月,40
山口,2003,6月,34
山口,2004,6月,36
山口,2005,6月,32
山口,2006,6月,91
山口,2007,6月,26
徳島,2003,4月,0
徳島,2004,4月,0
徳島,2005,4月,0
徳島,2006,4月,1
徳島,2007,4月,0
徳島,2003,5月,0
徳島,2004,5月,0
徳島,2005,5月,0
徳島,2006,5月,0
徳島,2007,5月,0
徳島,2003,6月,0
徳島,2004,6月,0
徳島,2005,6月,0
徳島,2006,6月,1
徳島,2007,6月,2
香川,2003,4月,0
香川,2004,4月,0
香川,2005,4月,0
香川,2006,4月,0
香川,2007,4月,0
香川,2003,5月,0
香川,2004,5月,0
香川,2005,5月,0
香川,2006,5月,0
香川,2007,5月,0
香川,2003,6月,0
香川,2004,6月,0
香川,2005,6月,0
香川,2006,6月,0
香川,2007,6月,0
愛媛,2003,4月,0
愛媛,2004,4月,0
愛媛,2005,4月,0
愛媛,2006,4月,0
愛媛,2007,4月,0
愛媛,2003,5月,0
愛媛,2004,5月,0
愛媛,2005,5月,0
愛媛,2006,5月,0
愛媛,2007,5月,0
愛媛,2003,6月,0
愛媛,2004,6月,0
愛媛,2005,6月,0
愛媛,2006,6月,0
愛媛,2007,6月,0
高知,2003,4月,0
高知,2004,4月,0
高知,2005,4月,0
高知,2006,4月,2
高知,2007,4月,0
高知,2003,5月,0
高知,2004,5月,0
高知,2005,5月,1
高知,2006,5月,2
高知,2007,5月,0
高知,2003,6月,0
高知,2004,6月,0
高知,2005,6月,0
高知,2006,6月,0
高知,2007,6月,0
